chunk_id,chunk_english,chunk_portuguese,chunk_spanish,chunk_scale,tag
341,Let's get started (34),Vamos começar,Empecemos,B1,meeting_fluency
342,Can we align on this? (34),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
343,Let me clarify (34),Deixe-me esclarecer,Déjame aclarar,B2,explanations
344,The data shows that (34),Os dados mostram que,Los datos muestran que,B1,presentation
345,What's your take on this? (34),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
346,We should consider (34),Devemos considerar,Deberíamos considerar,B1,explanations
347,This might be a concern (34),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
348,From a customer perspective (34),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
349,Let's move forward (34),Vamos seguir em frente,Avancemos,B1,meeting_fluency
350,I suggest that (34),Eu sugiro que,Sugiero que,B1,presentation
351,Let's get started (35),Vamos começar,Empecemos,B1,meeting_fluency
352,Can we align on this? (35),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
353,Let me clarify (35),Deixe-me esclarecer,Déjame aclarar,B2,explanations
354,The data shows that (35),Os dados mostram que,Los datos muestran que,B1,presentation
355,What's your take on this? (35),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
356,We should consider (35),Devemos considerar,Deberíamos considerar,B1,explanations
357,This might be a concern (35),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
358,From a customer perspective (35),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
359,Let's move forward (35),Vamos seguir em frente,Avancemos,B1,meeting_fluency
360,I suggest that (35),Eu sugiro que,Sugiero que,B1,presentation
361,Let's get started (36),Vamos começar,Empecemos,B1,meeting_fluency
362,Can we align on this? (36),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
363,Let me clarify (36),Deixe-me esclarecer,Déjame aclarar,B2,explanations
364,The data shows that (36),Os dados mostram que,Los datos muestran que,B1,presentation
365,What's your take on this? (36),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
366,We should consider (36),Devemos considerar,Deberíamos considerar,B1,explanations
367,This might be a concern (36),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
368,From a customer perspective (36),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
369,Let's move forward (36),Vamos seguir em frente,Avancemos,B1,meeting_fluency
370,I suggest that (36),Eu sugiro que,Sugiero que,B1,presentation
371,Let's get started (37),Vamos começar,Empecemos,B1,meeting_fluency
372,Can we align on this? (37),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
373,Let me clarify (37),Deixe-me esclarecer,Déjame aclarar,B2,explanations
374,The data shows that (37),Os dados mostram que,Los datos muestran que,B1,presentation
375,What's your take on this? (37),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
376,We should consider (37),Devemos considerar,Deberíamos considerar,B1,explanations
377,This might be a concern (37),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
378,From a customer perspective (37),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
379,Let's move forward (37),Vamos seguir em frente,Avancemos,B1,meeting_fluency
380,I suggest that (37),Eu sugiro que,Sugiero que,B1,presentation
381,Let's get started (38),Vamos começar,Empecemos,B1,meeting_fluency
382,Can we align on this? (38),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
383,Let me clarify (38),Deixe-me esclarecer,Déjame aclarar,B2,explanations
384,The data shows that (38),Os dados mostram que,Los datos muestran que,B1,presentation
385,What's your take on this? (38),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
386,We should consider (38),Devemos considerar,Deberíamos considerar,B1,explanations
387,This might be a concern (38),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
388,From a customer perspective (38),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
389,Let's move forward (38),Vamos seguir em frente,Avancemos,B1,meeting_fluency
390,I suggest that (38),Eu sugiro que,Sugiero que,B1,presentation
391,Let's get started (39),Vamos começar,Empecemos,B1,meeting_fluency
392,Can we align on this? (39),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
393,Let me clarify (39),Deixe-me esclarecer,Déjame aclarar,B2,explanations
394,The data shows that (39),Os dados mostram que,Los datos muestran que,B1,presentation
395,What's your take on this? (39),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
396,We should consider (39),Devemos considerar,Deberíamos considerar,B1,explanations
397,This might be a concern (39),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
398,From a customer perspective (39),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
399,Let's move forward (39),Vamos seguir em frente,Avancemos,B1,meeting_fluency
400,I suggest that (39),Eu sugiro que,Sugiero que,B1,presentation
401,Let's get started (40),Vamos começar,Empecemos,B1,meeting_fluency
402,Can we align on this? (40),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
403,Let me clarify (40),Deixe-me esclarecer,Déjame aclarar,B2,explanations
404,The data shows that (40),Os dados mostram que,Los datos muestran que,B1,presentation
405,What's your take on this? (40),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
406,We should consider (40),Devemos considerar,Deberíamos considerar,B1,explanations
407,This might be a concern (40),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
408,From a customer perspective (40),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
409,Let's move forward (40),Vamos seguir em frente,Avancemos,B1,meeting_fluency
410,I suggest that (40),Eu sugiro que,Sugiero que,B1,presentation
411,Let's get started (41),Vamos começar,Empecemos,B1,meeting_fluency
412,Can we align on this? (41),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
413,Let me clarify (41),Deixe-me esclarecer,Déjame aclarar,B2,explanations
414,The data shows that (41),Os dados mostram que,Los datos muestran que,B1,presentation
415,What's your take on this? (41),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
416,We should consider (41),Devemos considerar,Deberíamos considerar,B1,explanations
417,This might be a concern (41),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
418,From a customer perspective (41),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
419,Let's move forward (41),Vamos seguir em frente,Avancemos,B1,meeting_fluency
420,I suggest that (41),Eu sugiro que,Sugiero que,B1,presentation
421,Let's get started (42),Vamos começar,Empecemos,B1,meeting_fluency
422,Can we align on this? (42),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
423,Let me clarify (42),Deixe-me esclarecer,Déjame aclarar,B2,explanations
424,The data shows that (42),Os dados mostram que,Los datos muestran que,B1,presentation
425,What's your take on this? (42),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
426,We should consider (42),Devemos considerar,Deberíamos considerar,B1,explanations
427,This might be a concern (42),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
428,From a customer perspective (42),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
429,Let's move forward (42),Vamos seguir em frente,Avancemos,B1,meeting_fluency
430,I suggest that (42),Eu sugiro que,Sugiero que,B1,presentation
431,Let's get started (43),Vamos começar,Empecemos,B1,meeting_fluency
432,Can we align on this? (43),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
433,Let me clarify (43),Deixe-me esclarecer,Déjame aclarar,B2,explanations
434,The data shows that (43),Os dados mostram que,Los datos muestran que,B1,presentation
435,What's your take on this? (43),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
436,We should consider (43),Devemos considerar,Deberíamos considerar,B1,explanations
437,This might be a concern (43),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
438,From a customer perspective (43),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
439,Let's move forward (43),Vamos seguir em frente,Avancemos,B1,meeting_fluency
440,I suggest that (43),Eu sugiro que,Sugiero que,B1,presentation
441,Let's get started (44),Vamos começar,Empecemos,B1,meeting_fluency
442,Can we align on this? (44),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
443,Let me clarify (44),Deixe-me esclarecer,Déjame aclarar,B2,explanations
444,The data shows that (44),Os dados mostram que,Los datos muestran que,B1,presentation
445,What's your take on this? (44),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
446,We should consider (44),Devemos considerar,Deberíamos considerar,B1,explanations
447,This might be a concern (44),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
448,From a customer perspective (44),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
449,Let's move forward (44),Vamos seguir em frente,Avancemos,B1,meeting_fluency
450,I suggest that (44),Eu sugiro que,Sugiero que,B1,presentation
451,Let's get started (45),Vamos começar,Empecemos,B1,meeting_fluency
452,Can we align on this? (45),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
453,Let me clarify (45),Deixe-me esclarecer,Déjame aclarar,B2,explanations
454,The data shows that (45),Os dados mostram que,Los datos muestran que,B1,presentation
455,What's your take on this? (45),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
456,We should consider (45),Devemos considerar,Deberíamos considerar,B1,explanations
457,This might be a concern (45),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
458,From a customer perspective (45),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
459,Let's move forward (45),Vamos seguir em frente,Avancemos,B1,meeting_fluency
460,I suggest that (45),Eu sugiro que,Sugiero que,B1,presentation
461,Let's get started (46),Vamos começar,Empecemos,B1,meeting_fluency
462,Can we align on this? (46),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
463,Let me clarify (46),Deixe-me esclarecer,Déjame aclarar,B2,explanations
464,The data shows that (46),Os dados mostram que,Los datos muestran que,B1,presentation
465,What's your take on this? (46),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
466,We should consider (46),Devemos considerar,Deberíamos considerar,B1,explanations
467,This might be a concern (46),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
468,From a customer perspective (46),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
469,Let's move forward (46),Vamos seguir em frente,Avancemos,B1,meeting_fluency
470,I suggest that (46),Eu sugiro que,Sugiero que,B1,presentation
471,Let's get started (47),Vamos começar,Empecemos,B1,meeting_fluency
472,Can we align on this? (47),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
473,Let me clarify (47),Deixe-me esclarecer,Déjame aclarar,B2,explanations
474,The data shows that (47),Os dados mostram que,Los datos muestran que,B1,presentation
475,What's your take on this? (47),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
476,We should consider (47),Devemos considerar,Deberíamos considerar,B1,explanations
477,This might be a concern (47),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
478,From a customer perspective (47),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
479,Let's move forward (47),Vamos seguir em frente,Avancemos,B1,meeting_fluency
480,I suggest that (47),Eu sugiro que,Sugiero que,B1,presentation
481,Let's get started (48),Vamos começar,Empecemos,B1,meeting_fluency
482,Can we align on this? (48),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
483,Let me clarify (48),Deixe-me esclarecer,Déjame aclarar,B2,explanations
484,The data shows that (48),Os dados mostram que,Los datos muestran que,B1,presentation
485,What's your take on this? (48),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
486,We should consider (48),Devemos considerar,Deberíamos considerar,B1,explanations
487,This might be a concern (48),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
488,From a customer perspective (48),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
489,Let's move forward (48),Vamos seguir em frente,Avancemos,B1,meeting_fluency
490,I suggest that (48),Eu sugiro que,Sugiero que,B1,presentation
491,Let's get started (49),Vamos começar,Empecemos,B1,meeting_fluency
492,Can we align on this? (49),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
493,Let me clarify (49),Deixe-me esclarecer,Déjame aclarar,B2,explanations
494,The data shows that (49),Os dados mostram que,Los datos muestran que,B1,presentation
495,What's your take on this? (49),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
496,We should consider (49),Devemos considerar,Deberíamos considerar,B1,explanations
497,This might be a concern (49),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
498,From a customer perspective (49),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
499,Let's move forward (49),Vamos seguir em frente,Avancemos,B1,meeting_fluency
500,I suggest that (49),Eu sugiro que,Sugiero que,B1,presentation
501,Let's get started (50),Vamos começar,Empecemos,B1,meeting_fluency
502,Can we align on this? (50),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
503,Let me clarify (50),Deixe-me esclarecer,Déjame aclarar,B2,explanations
504,The data shows that (50),Os dados mostram que,Los datos muestran que,B1,presentation
505,What's your take on this? (50),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
506,We should consider (50),Devemos considerar,Deberíamos considerar,B1,explanations
507,This might be a concern (50),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
508,From a customer perspective (50),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
509,Let's move forward (50),Vamos seguir em frente,Avancemos,B1,meeting_fluency
510,I suggest that (50),Eu sugiro que,Sugiero que,B1,presentation
511,Let's get started (51),Vamos começar,Empecemos,B1,meeting_fluency
512,Can we align on this? (51),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
513,Let me clarify (51),Deixe-me esclarecer,Déjame aclarar,B2,explanations
514,The data shows that (51),Os dados mostram que,Los datos muestran que,B1,presentation
515,What's your take on this? (51),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
516,We should consider (51),Devemos considerar,Deberíamos considerar,B1,explanations
517,This might be a concern (51),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
518,From a customer perspective (51),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
519,Let's move forward (51),Vamos seguir em frente,Avancemos,B1,meeting_fluency
520,I suggest that (51),Eu sugiro que,Sugiero que,B1,presentation
521,Let's get started (52),Vamos começar,Empecemos,B1,meeting_fluency
522,Can we align on this? (52),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
523,Let me clarify (52),Deixe-me esclarecer,Déjame aclarar,B2,explanations
524,The data shows that (52),Os dados mostram que,Los datos muestran que,B1,presentation
525,What's your take on this? (52),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
526,We should consider (52),Devemos considerar,Deberíamos considerar,B1,explanations
527,This might be a concern (52),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
528,From a customer perspective (52),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
529,Let's move forward (52),Vamos seguir em frente,Avancemos,B1,meeting_fluency
530,I suggest that (52),Eu sugiro que,Sugiero que,B1,presentation
531,Let's get started (53),Vamos começar,Empecemos,B1,meeting_fluency
532,Can we align on this? (53),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
533,Let me clarify (53),Deixe-me esclarecer,Déjame aclarar,B2,explanations
534,The data shows that (53),Os dados mostram que,Los datos muestran que,B1,presentation
535,What's your take on this? (53),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
536,We should consider (53),Devemos considerar,Deberíamos considerar,B1,explanations
537,This might be a concern (53),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
538,From a customer perspective (53),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
539,Let's move forward (53),Vamos seguir em frente,Avancemos,B1,meeting_fluency
540,I suggest that (53),Eu sugiro que,Sugiero que,B1,presentation
541,Let's get started (54),Vamos começar,Empecemos,B1,meeting_fluency
542,Can we align on this? (54),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
543,Let me clarify (54),Deixe-me esclarecer,Déjame aclarar,B2,explanations
544,The data shows that (54),Os dados mostram que,Los datos muestran que,B1,presentation
545,What's your take on this? (54),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
546,We should consider (54),Devemos considerar,Deberíamos considerar,B1,explanations
547,This might be a concern (54),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
548,From a customer perspective (54),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
549,Let's move forward (54),Vamos seguir em frente,Avancemos,B1,meeting_fluency
550,I suggest that (54),Eu sugiro que,Sugiero que,B1,presentation
551,Let's get started (55),Vamos começar,Empecemos,B1,meeting_fluency
552,Can we align on this? (55),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
553,Let me clarify (55),Deixe-me esclarecer,Déjame aclarar,B2,explanations
554,The data shows that (55),Os dados mostram que,Los datos muestran que,B1,presentation
555,What's your take on this? (55),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
556,We should consider (55),Devemos considerar,Deberíamos considerar,B1,explanations
557,This might be a concern (55),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
558,From a customer perspective (55),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
559,Let's move forward (55),Vamos seguir em frente,Avancemos,B1,meeting_fluency
560,I suggest that (55),Eu sugiro que,Sugiero que,B1,presentation
561,Let's get started (56),Vamos começar,Empecemos,B1,meeting_fluency
562,Can we align on this? (56),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
563,Let me clarify (56),Deixe-me esclarecer,Déjame aclarar,B2,explanations
564,The data shows that (56),Os dados mostram que,Los datos muestran que,B1,presentation
565,What's your take on this? (56),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
566,We should consider (56),Devemos considerar,Deberíamos considerar,B1,explanations
567,This might be a concern (56),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
568,From a customer perspective (56),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
569,Let's move forward (56),Vamos seguir em frente,Avancemos,B1,meeting_fluency
570,I suggest that (56),Eu sugiro que,Sugiero que,B1,presentation
571,Let's get started (57),Vamos começar,Empecemos,B1,meeting_fluency
572,Can we align on this? (57),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
573,Let me clarify (57),Deixe-me esclarecer,Déjame aclarar,B2,explanations
574,The data shows that (57),Os dados mostram que,Los datos muestran que,B1,presentation
575,What's your take on this? (57),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
576,We should consider (57),Devemos considerar,Deberíamos considerar,B1,explanations
577,This might be a concern (57),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
578,From a customer perspective (57),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
579,Let's move forward (57),Vamos seguir em frente,Avancemos,B1,meeting_fluency
580,I suggest that (57),Eu sugiro que,Sugiero que,B1,presentation
581,Let's get started (58),Vamos começar,Empecemos,B1,meeting_fluency
582,Can we align on this? (58),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
583,Let me clarify (58),Deixe-me esclarecer,Déjame aclarar,B2,explanations
584,The data shows that (58),Os dados mostram que,Los datos muestran que,B1,presentation
585,What's your take on this? (58),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
586,We should consider (58),Devemos considerar,Deberíamos considerar,B1,explanations
587,This might be a concern (58),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
588,From a customer perspective (58),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
589,Let's move forward (58),Vamos seguir em frente,Avancemos,B1,meeting_fluency
590,I suggest that (58),Eu sugiro que,Sugiero que,B1,presentation
591,Let's get started (59),Vamos começar,Empecemos,B1,meeting_fluency
592,Can we align on this? (59),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
593,Let me clarify (59),Deixe-me esclarecer,Déjame aclarar,B2,explanations
594,The data shows that (59),Os dados mostram que,Los datos muestran que,B1,presentation
595,What's your take on this? (59),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
596,We should consider (59),Devemos considerar,Deberíamos considerar,B1,explanations
597,This might be a concern (59),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
598,From a customer perspective (59),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
599,Let's move forward (59),Vamos seguir em frente,Avancemos,B1,meeting_fluency
600,I suggest that (59),Eu sugiro que,Sugiero que,B1,presentation
601,Let's get started (60),Vamos começar,Empecemos,B1,meeting_fluency
602,Can we align on this? (60),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
603,Let me clarify (60),Deixe-me esclarecer,Déjame aclarar,B2,explanations
604,The data shows that (60),Os dados mostram que,Los datos muestran que,B1,presentation
605,What's your take on this? (60),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
606,We should consider (60),Devemos considerar,Deberíamos considerar,B1,explanations
607,This might be a concern (60),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
608,From a customer perspective (60),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
609,Let's move forward (60),Vamos seguir em frente,Avancemos,B1,meeting_fluency
610,I suggest that (60),Eu sugiro que,Sugiero que,B1,presentation
611,Let's get started (61),Vamos começar,Empecemos,B1,meeting_fluency
612,Can we align on this? (61),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
613,Let me clarify (61),Deixe-me esclarecer,Déjame aclarar,B2,explanations
614,The data shows that (61),Os dados mostram que,Los datos muestran que,B1,presentation
615,What's your take on this? (61),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
616,We should consider (61),Devemos considerar,Deberíamos considerar,B1,explanations
617,This might be a concern (61),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
618,From a customer perspective (61),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
619,Let's move forward (61),Vamos seguir em frente,Avancemos,B1,meeting_fluency
620,I suggest that (61),Eu sugiro que,Sugiero que,B1,presentation
621,Let's get started (62),Vamos começar,Empecemos,B1,meeting_fluency
622,Can we align on this? (62),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
623,Let me clarify (62),Deixe-me esclarecer,Déjame aclarar,B2,explanations
624,The data shows that (62),Os dados mostram que,Los datos muestran que,B1,presentation
625,What's your take on this? (62),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
626,We should consider (62),Devemos considerar,Deberíamos considerar,B1,explanations
627,This might be a concern (62),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
628,From a customer perspective (62),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
629,Let's move forward (62),Vamos seguir em frente,Avancemos,B1,meeting_fluency
630,I suggest that (62),Eu sugiro que,Sugiero que,B1,presentation
631,Let's get started (63),Vamos começar,Empecemos,B1,meeting_fluency
632,Can we align on this? (63),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
633,Let me clarify (63),Deixe-me esclarecer,Déjame aclarar,B2,explanations
634,The data shows that (63),Os dados mostram que,Los datos muestran que,B1,presentation
635,What's your take on this? (63),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
636,We should consider (63),Devemos considerar,Deberíamos considerar,B1,explanations
637,This might be a concern (63),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
638,From a customer perspective (63),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
639,Let's move forward (63),Vamos seguir em frente,Avancemos,B1,meeting_fluency
640,I suggest that (63),Eu sugiro que,Sugiero que,B1,presentation
641,Let's get started (64),Vamos começar,Empecemos,B1,meeting_fluency
642,Can we align on this? (64),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
643,Let me clarify (64),Deixe-me esclarecer,Déjame aclarar,B2,explanations
644,The data shows that (64),Os dados mostram que,Los datos muestran que,B1,presentation
645,What's your take on this? (64),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
646,We should consider (64),Devemos considerar,Deberíamos considerar,B1,explanations
647,This might be a concern (64),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
648,From a customer perspective (64),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
649,Let's move forward (64),Vamos seguir em frente,Avancemos,B1,meeting_fluency
650,I suggest that (64),Eu sugiro que,Sugiero que,B1,presentation
651,Let's get started (65),Vamos começar,Empecemos,B1,meeting_fluency
652,Can we align on this? (65),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
653,Let me clarify (65),Deixe-me esclarecer,Déjame aclarar,B2,explanations
654,The data shows that (65),Os dados mostram que,Los datos muestran que,B1,presentation
655,What's your take on this? (65),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
656,We should consider (65),Devemos considerar,Deberíamos considerar,B1,explanations
657,This might be a concern (65),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
658,From a customer perspective (65),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
659,Let's move forward (65),Vamos seguir em frente,Avancemos,B1,meeting_fluency
660,I suggest that (65),Eu sugiro que,Sugiero que,B1,presentation
661,Let's get started (66),Vamos começar,Empecemos,B1,meeting_fluency
662,Can we align on this? (66),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
663,Let me clarify (66),Deixe-me esclarecer,Déjame aclarar,B2,explanations
664,The data shows that (66),Os dados mostram que,Los datos muestran que,B1,presentation
665,What's your take on this? (66),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
666,We should consider (66),Devemos considerar,Deberíamos considerar,B1,explanations
667,This might be a concern (66),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
668,From a customer perspective (66),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
669,Let's move forward (66),Vamos seguir em frente,Avancemos,B1,meeting_fluency
670,I suggest that (66),Eu sugiro que,Sugiero que,B1,presentation
671,Let's get started (67),Vamos começar,Empecemos,B1,meeting_fluency
672,Can we align on this? (67),Podemos alinhar isso?,¿Podemos alinearnos en esto?,B2,meeting_fluency
673,Let me clarify (67),Deixe-me esclarecer,Déjame aclarar,B2,explanations
674,The data shows that (67),Os dados mostram que,Los datos muestran que,B1,presentation
675,What's your take on this? (67),Qual sua opinião sobre isso?,¿Qué opinas sobre esto?,B2,meeting_fluency
676,We should consider (67),Devemos considerar,Deberíamos considerar,B1,explanations
677,This might be a concern (67),Isso pode ser uma preocupação,Esto podría ser una preocupación,B2,negotiation
678,From a customer perspective (67),Do ponto de vista do cliente,Desde la perspectiva del cliente,B2,customer
679,Let's move forward (67),Vamos seguir em frente,Avancemos,B1,meeting_fluency
680,I suggest that (67),Eu sugiro que,Sugiero que,B1,presentation
681,Let's get started (68),Vamos começar,Empecemos,B1,meeting_fluency
